Ngày,Lý do chi, Số tiền,Ghi chú,Điều kiện,Đầu tháng,,Số dư,"2,259,000"
2010-11-01,Ăn sáng,"12,000",,0,7/1/2012,,Chi tháng 7,"54,000"
2010-11-01,Ăn trưa,"17,000",,0,,,Chỉ tiêu,"111,000"
2010-11-01,Gửi xe,"2,000",,0,,,,
2010-11-01,Linh tinh,"10,000",Sửa ổ khóa,0,,,,
2010-11-03,Gửi xe,"1,000",Trường SPKT,0,,,,
2010-11-03,Gửi xe,"2,000",Nhà máy nước,0,,,,
2010-11-05,Ăn sáng,"12,000",,0,,,,
2010-11-05,Linh tinh,"3,000",Xe buýt,0,,,,
2010-11-06,Đổ xăng,"30,000",,0,,,,
2010-11-06,Gửi xe,"2,000",,0,,,,
2010-11-06,Nhậu,"50,000",,0,,,,
2010-11-08,Ăn sáng,"10,000",,0,,,,
2010-11-08,Ăn trưa,"20,000",Mì xào + 5K phần của Dư,0,,,,
2010-11-08,Linh tinh,"5,000",Áo mưa,0,,,,
2010-11-10,Ăn sáng,"5,000",,0,,,,
2010-11-10,Gửi xe,"2,000",2 lần,0,,,,
2010-11-10,Linh tinh,"57,000",Quà sinh nhật Huyên,0,,,,
2010-11-11,Linh tinh,"110,000",Quà cho thầy hướng dẫn SP,0,,,,
2010-11-12,Đổ xăng,"30,000",,0,,,,
2010-11-12,Gửi xe,"2,000",,0,,,,
2010-11-14,Đổ xăng,"20,000",,0,,,,
2010-11-14,Ăn sáng,"3,500",Bánh mì,0,,,,
2010-11-14,Gửi xe,"2,000",,0,,,,
2010-11-15,Linh tinh,"20,000",In phúc trình,0,,,,
2010-11-15,Ăn trưa,"8,000",,0,,,,
2010-11-15,Đổ xăng,"30,000",,0,,,,
2010-11-17,Ăn sáng,"5,000",Bánh mì,0,,,,
2010-11-17,Gửi xe,"1,000",Trường SPKT,0,,,,
2010-11-17,Gửi xe,"2,000",Nhà máy nước,0,,,,
2010-11-17,Linh tinh,"55,000","Liên hoan TTSP (Đưa 80000, Thiện đưa lại 25000 vào ngày 8/12)",0,,,,
2010-11-18,Đổ xăng,"30,000",,0,,,,
2010-11-18,Gửi xe,"3,000",eTown,0,,,,
2010-11-22,Đổ xăng,"30,000",,0,,,,
2010-11-22,Ăn sáng,"13,000",,0,,,,
2010-11-22,Linh tinh,"2,000",In bảng điểm,0,,,,
2010-11-22,Gửi xe,"1,000",,0,,,,
2010-11-23,Gửi xe,"3,000",,0,,,,
2010-11-24,Đổ xăng,"30,000",,0,,,,
2010-11-24,Linh tinh,"3,000",Hồ sơ xin việc,0,,,,
2010-11-24,Gửi xe,"1,000",,0,,,,
2010-11-26,Thu,"-200,000",Chị Hai cho,0,,,,
2010-11-27,Cho,"20,000",Chị Hai,0,,,,
2010-11-28,Nhậu,"201,000",,0,,,,
2010-11-29,Đổ xăng,"30,000",,0,,,,
2010-11-29,Linh tinh,"15,000",Chè,0,,,,
2010-11-30,Linh tinh,"20,000",Thối tiền tủ tivi,0,,,,
2010-11-30,Ăn tối,"6,000",Bánh mì,0,,,,
2010-12-01,Gửi xe,"1,000",,0,,,,
2010-12-01,Linh tinh,"5,500",Nước tương,0,,,,
2010-12-02,Ăn sáng,"4,000",Bánh mì,0,,,,
2010-12-05,Đổ xăng,"20,000",,0,,,,
2010-12-08,Ăn sáng,"5,000",Bánh mì,0,,,,
2010-12-08,Linh tinh,"67,500",Bảo hiểm xe máy,0,,,,
2010-12-08,Gửi xe,"1,000",,0,,,,
2010-12-08,Đổ xăng,"30,000",,0,,,,
2010-12-11,Gửi xe,"1,000",,0,,,,
2010-12-11,Hớt tóc,"16,000",,0,,,,
2010-12-14,Thu,"-10,000",Tiền ăn sáng dư,0,,,,
2010-12-14,Linh tinh,"1,000",Photo giấy tờ cho Hai ,0,,,,
2010-12-15,Ăn sáng,"7,000",Bánh mì,0,,,,
2010-12-15,Đổ xăng,"30,000",,0,,,,
2010-12-15,Gửi xe,"1,000",,0,,,,
2010-12-16,Linh tinh,"37,000",Nước,0,,,,
2010-12-16,Thu,"-500,000","Hai đưa để đóng tiền nước, điện, internet",0,,,,
2010-12-17,Ăn sáng,"30,000",,0,,,,
2010-12-17,Linh tinh,"440,000",Internet,0,,,,
2010-12-17,Linh tinh,"30,000",Dầu gội,0,,,,
2010-12-18,Ăn sáng,"15,000",,0,,,,
2010-12-18,Linh tinh,"17,000",Nhang muỗi,0,,,,
2010-12-18,Gửi xe,"1,000",,0,,,,
2010-12-18,Thay nhớt,"72,000",,0,,,,
2010-12-19,Đổ xăng,"30,000",,0,,,,
2010-12-19,Nhậu,"70,000",Phong + Lai,0,,,,
2010-12-20,Ăn sáng,"7,000",Bánh mì,0,,,,
2010-12-20,Gửi xe,"1,000",,0,,,,
2010-12-20,Rút tài khoản,"-1,000,000",,0,,,,
2010-12-20,Linh tinh,"38,000",Điện,0,,,,
2010-12-21,Ăn sáng,"15,000",,0,,,,
2010-12-22,Rút tài khoản,"-5,280,000",,0,,,,
2010-12-22,Ăn sáng,"7,000",Bánh mì,0,,,,
2010-12-22,Đổ xăng,"30,000",,0,,,,
2010-12-23,Ăn sáng,"7,000",Bánh mì,0,,,,
2010-12-23,Linh tinh,"5,500,000",Gửi tài khoản,0,,,,
2010-12-23,Ăn trưa,"17,000",,0,,,,
2010-12-23,Linh tinh,"128,000",1 thùng mì gói,0,,,,
2010-12-24,Ăn sáng,"10,000",Hủ tiếu bò kho,0,,,,
2010-12-24,Linh tinh,"10,000",Sửa xe,0,,,,
