Date,Category,Amount,Note,Is Spending?,Is Big Spending?
01/11/2010,Ăn sáng,12.000,,1,
01/11/2010,Ăn trưa,17.000,,1,
01/11/2010,Gửi xe,2.000,,1,
01/11/2010,Linh tinh,10.000,Sửa ổ khóa,1,
03/11/2010,Gửi xe,1.000,Trường SPKT,1,
03/11/2010,Gửi xe,2.000,Nhà máy nước,1,
05/11/2010,Ăn sáng,12.000,,1,
05/11/2010,Linh tinh,3.000,Xe buýt,1,
06/11/2010,Đổ xăng,30.000,,1,
06/11/2010,Gửi xe,2.000,,1,
06/11/2010,Nhậu,50.000,,1,
08/11/2010,Ăn sáng,10.000,,1,
08/11/2010,Ăn trưa,20.000,Mì xào + 5K phần của Dư,1,
08/11/2010,Linh tinh,5.000,Áo mưa,1,
10/11/2010,Ăn sáng,5.000,,1,
10/11/2010,Gửi xe,2.000,2 lần,1,
10/11/2010,Linh tinh,57.000,Quà sinh nhật Huyên,1,
11/11/2010,Linh tinh,110.000,Quà cho thầy hướng dẫn sư phạm,1,
12/11/2010,Đổ xăng,30.000,,1,
12/11/2010,Gửi xe,2.000,,1,
14/11/2010,Đổ xăng,20.000,,1,
14/11/2010,Ăn sáng,3.500,Bánh mì,1,
14/11/2010,Gửi xe,2.000,,1,
15/11/2010,Linh tinh,20.000,In phúc trình,1,
15/11/2010,Ăn trưa,8.000,,1,
15/11/2010,Đổ xăng,30.000,,1,
17/11/2010,Ăn sáng,5.000,Bánh mì,1,
17/11/2010,Gửi xe,1.000,Trường SPKT,1,
17/11/2010,Gửi xe,2.000,Nhà máy nước,1,
17/11/2010,Linh tinh,55.000,"Liên hoan TTSP (Đưa 80000, Thiện đưa lại 25000 vào ngày 8/12)",1,
18/11/2010,Đổ xăng,30.000,,1,
18/11/2010,Gửi xe,3.000,eTown,1,
22/11/2010,Đổ xăng,30.000,,1,
22/11/2010,Ăn sáng,13.000,,1,
22/11/2010,Linh tinh,2.000,In bảng điểm,1,
22/11/2010,Gửi xe,1.000,,1,
23/11/2010,Gửi xe,3.000,,1,
24/11/2010,Đổ xăng,30.000,,1,
24/11/2010,Linh tinh,3.000,Hồ sơ xin việc,1,
24/11/2010,Gửi xe,1.000,,1,
26/11/2010,Thu,-200.000,Chị Hai cho,1,
27/11/2010,Linh tinh,20.000,Đưa chị Hai,1,
28/11/2010,Nhậu,201.000,,1,
29/11/2010,Đổ xăng,30.000,,1,
29/11/2010,Linh tinh,15.000,Chè,1,
30/11/2010,Linh tinh,20.000,Thối tiền tủ tivi,1,
30/11/2010,Ăn tối,6.000,Bánh mì,1,
01/12/2010,Gửi xe,1.000,,1,
01/12/2010,Linh tinh,5.500,Nước tương,1,
02/12/2010,Ăn sáng,4.000,Bánh mì,1,
05/12/2010,Đổ xăng,20.000,,1,
08/12/2010,Ăn sáng,5.000,Bánh mì,1,
08/12/2010,Linh tinh,67.500,Bảo hiểm xe máy,1,
08/12/2010,Gửi xe,1.000,,1,
08/12/2010,Đổ xăng,30.000,,1,
11/12/2010,Gửi xe,1.000,,1,
11/12/2010,Hớt tóc,16.000,,1,
14/12/2010,Thu,-10.000,Tiền ăn sáng dư,1,
14/12/2010,Linh tinh,1.000,Photo giấy tờ cho Hai ,1,
15/12/2010,Ăn sáng,7.000,Bánh mì,1,
15/12/2010,Đổ xăng,30.000,,1,
15/12/2010,Gửi xe,1.000,,1,
16/12/2010,Linh tinh,37.000,Nước,1,
16/12/2010,Thu,-60.000,"Hai đưa để đóng tiền nước, điện, internet còn dư",1,
17/12/2010,Ăn sáng,30.000,,1,
17/12/2010,Linh tinh,30.000,Dầu gội,1,
18/12/2010,Ăn sáng,15.000,,1,
18/12/2010,Linh tinh,17.000,Nhang muỗi,1,
18/12/2010,Gửi xe,1.000,,1,
18/12/2010,Thay nhớt,72.000,,1,
19/12/2010,Đổ xăng,30.000,,1,
19/12/2010,Nhậu,70.000,Phong + Lai,1,
20/12/2010,Ăn sáng,7.000,Bánh mì,1,
20/12/2010,Gửi xe,1.000,,1,
20/12/2010,Rút tài khoản,-1.000.000,,0,
20/12/2010,Linh tinh,38.000,Điện,1,
21/12/2010,Ăn sáng,15.000,,1,
22/12/2010,Rút tài khoản,-5.280.000,,0,
22/12/2010,Ăn sáng,7.000,Bánh mì,1,
22/12/2010,Đổ xăng,30.000,,1,
23/12/2010,Ăn sáng,7.000,Bánh mì,1,
23/12/2010,Gửi tài khoản,5.500.000,,0,
23/12/2010,Ăn trưa,17.000,,1,
23/12/2010,Linh tinh,128.000,1 thùng mì gói,1,
24/12/2010,Ăn sáng,10.000,Hủ tiếu bò kho,1,
24/12/2010,Linh tinh,10.000,Sửa xe,1,
25/12/2010,Linh tinh,19.000,Sinh tố cùng tụi bạn 061,1,
25/12/2010,Linh tinh,12.000,Xe buýt,1,
26/12/2010,Gửi xe,4.000,2 lần,1,
26/12/2010,Đổ xăng,30.000,,1,
27/12/2010,Ăn sáng,10.000,Bánh cuốn,1,
27/12/2010,Linh tinh,6.000,In bảng điểm,1,
27/12/2010,Gửi xe,1.000,,1,
27/12/2010,Ăn trưa,17.000,,1,
27/12/2010,Linh tinh,64.000,Sinh tố (Thăm cô Minh),1,
27/12/2010,Linh tinh,190.000,Dây đàn,1,
27/12/2010,Đổ xăng,30.000,,1,
28/12/2010,Gửi xe,1.000,,1,
28/12/2010,Linh tinh,6.000,Hủ tiếu,1,
29/12/2010,Ăn sáng,7.000,Bánh mì,1,
29/12/2010,Linh tinh,12.000,Thuốc cảm,1,
30/12/2010,Ăn sáng,10.000,Bánh cuốn,1,
30/12/2010,Linh tinh,26.000,Giấy vệ sinh,1,
31/12/2010,Linh tinh,6.000,Xe buýt,1,
31/12/2010,Linh tinh,12.000,Hủ tiếu,1,
31/12/2010,Thu,-100.000,Anh Chiến đưa,1,
31/12/2010,Linh tinh,20.000,Mua đồ sửa nhà,1,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
