Date,Category,Amount,Note,Is Spending?,Is big spending?
01/01/2014,Đổ xăng,50.000,Ngã tư Phú Nhuận,1,
01/01/2014,Linh tinh,20.000,Ăn vặt ở nhà thờ Đức Bà,1,
01/01/2014,Gửi xe,10.000,Nhà thờ Đức Bà,1,
01/01/2014,Ăn tối,25.000,Mì quảng Gò Dầu,1,
02/01/2014,Linh tinh,30.000,"Xoài, trứng cút",1,
02/01/2014,Nhậu,200.000,"Với Lai, Linh",1,
02/01/2014,Ăn sáng,20.000,Bánh cuốn,1,
02/01/2014,Mượn,-70.000,Thanh,0,
02/01/2014,Linh tinh,70.000,Xem phim 47 Ronin,1,
02/01/2014,Ăn trưa,25.000,Bún bò,1,
02/01/2014,Ăn tối,31.000,Mì vịt tiềm,1,
02/01/2014,Linh tinh,16.000,Revive,1,
03/01/2014,Thu tiền mượn,-3.000.000,Nhân,0,
03/01/2014,Ăn trưa,30.000,Bún mắm nêm,1,
03/01/2014,Linh tinh,22.000,"Bánh mì, coca",1,
03/01/2014,Ăn tối,23.000,Hủ tiếu Gò Dầu,1,
04/01/2014,Ăn sáng,18.000,Bánh canh cá lóc Lê Đình Thám,1,
04/01/2014,Linh tinh,8.000,Revive,1,
04/01/2014,Gửi xe,3.000,Sân bóng K334,1,
04/01/2014,Ăn trưa,21.000,Cơm Trương Vĩnh Ký,1,
04/01/2014,Linh tinh,5.000,Sửa xe,1,
04/01/2014,Đổ xăng,50.000,Bàu Cát,1,
04/01/2014,Linh tinh,15.000,Rửa xe đường Nguyễn Thế Truyện,1,
04/01/2014,Hớt tóc,80.000,Nguyễn Xuân Khoát,1,
04/01/2014,Ăn tối,25.000,Bún mắm,1,
04/01/2014,Linh tinh,53.000,Cà phê với Thương 12A,1,
04/01/2014,Ăn tối,20.000,Mì xào,1,
04/01/2014,Linh tinh,9.000,Sting,1,
05/01/2014,Ăn sáng,15.000,Bánh canh cá lóc Lê Đình Thám,1,
05/01/2014,Linh tinh,100.000,Lấy vôi răng,1,
05/01/2014,Ăn trưa,35.000,Bún chả Hà Nội,1,
